model,valore_AIC,valore_BIC_data,valore_BIC_subject,valore_LogLikelihood,signifi_interc1,signifi_linear1,signifi_quadra1,signifi_cubic1,signifi_quarti1,signifi_interc2,signifi_linear2,signifi_quadra2,signifi_cubic2,signifi_quarti2,signifi_interc3,signifi_linear3,signifi_quadra3,signifi_cubic3,signifi_quarti3,signifi_interc4,signifi_linear4,signifi_quadra4,signifi_cubic4,signifi_quarti4
2242,-9466,-9534,-9513,-9449,3,3,3,,,3,2,3,,,3,0,1,1,0,3,3,3,,
2243,-9465,-9537,-9515,-9447,3,3,3,,,3,2,3,,,3,0,1,1,0,3,3,0,1,
2244,-9465,-9540,-9517,-9446,3,3,3,,,3,2,3,,,3,0,1,1,0,3,0,1,2,2
2311,-9553,-9609,-9591,-9539,3,2,3,,,3,0,3,3,,0,2,,,,3,3,,,
2312,-9477,-9537,-9519,-9462,3,3,3,,,3,1,3,3,,3,3,,,,3,3,3,,
2313,-9465,-9528,-9509,-9449,3,3,3,,,3,3,3,3,,3,3,,,,3,3,3,3,
2314,-9553,-9621,-9600,-9536,0,0,0,,,0,0,0,0,,0,0,,,,0,0,0,0,0
2321,-9490,-9550,-9532,-9475,3,3,3,,,3,1,3,3,,3,3,3,,,3,3,,,
2322,-9464,-9528,-9508,-9448,3,3,3,,,3,1,3,3,,3,3,3,,,3,3,3,,
2323,-9452,-9520,-9499,-9435,3,3,3,,,3,3,3,3,,3,3,3,,,3,3,3,3,
2324,-9462,-9534,-9512,-9444,3,3,3,,,3,1,3,3,,3,3,3,,,3,0,1,2,2
2331,-9494,-9558,-9538,-9478,3,3,3,,,3,1,3,3,,3,0,0,2,,3,2,,,
2332,-9463,-9530,-9510,-9446,3,3,3,,,3,1,3,3,,3,0,0,2,,3,3,3,,
2333,-9462,-9534,-9512,-9444,3,3,3,,,3,1,3,3,,3,0,0,2,,3,3,0,0,
2334,-9461,-9537,-9514,-9442,3,3,3,,,3,1,3,3,,3,0,0,2,,3,0,1,2,2
2341,-9495,-9562,-9541,-9478,3,3,3,,,3,1,3,3,,3,0,0,0,0,3,2,,,
2342,-9462,-9534,-9512,-9444,3,3,3,,,3,1,3,3,,3,0,1,1,0,3,3,3,,
2343,-9453,-9529,-9505,-9434,3,3,3,,,3,3,3,3,,3,0,0,0,0,3,3,3,3,
